"message","ts","data"
"remote_audio_level",1642259123518,"{""audioLevel"":0.028183829312644536,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259123699,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259124515,"{""audioLevel"":0.07351908932767723,""totalAudioEnergy"":0.08128026185739877}"
"remote_audio_level",1642259124517,"{""audioLevel"":0.0035481338923357532,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259124700,"{""audioLevel"":0.0025118864315095794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259125512,"{""audioLevel"":0.785491500595111,""totalAudioEnergy"":0.7482015369531932}"
"remote_audio_level",1642259125519,"{""audioLevel"":0.008912509381337459,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259125700,"{""audioLevel"":0.011220184543019636,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259126517,"{""audioLevel"":0.8102786339915158,""totalAudioEnergy"":1.6426872881142676}"
"remote_audio_level",1642259126518,"{""audioLevel"":0.0012589254117941675,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259126699,"{""audioLevel"":0.03548133892335755,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259127515,"{""audioLevel"":0.005938901944029054,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259127522,"{""audioLevel"":0.0025118864315095794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259127700,"{""audioLevel"":0.0008912509381337459,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259128510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259128517,"{""audioLevel"":0.001412537544622754,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259128700,"{""audioLevel"":0.01,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259129511,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259129518,"{""audioLevel"":0.00223872113856834,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259129700,"{""audioLevel"":0.00223872113856834,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_track_added",1642259130133,"{""trackData"":{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""live""}}"
"remote_track_added",1642259130136,"{""trackData"":{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""live""}}"
"remote_track_added",1642259130136,"{""trackData"":{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""live""}}"
"remote_track_unmute",1642259130139,"{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"remote_track_unmute",1642259130141,"{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"remote_track_unmute",1642259130143,"{""id"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""kind"":""video"",""label"":""d7e8ad64-af75-4023-bfb7-5a13b010a7a4-2"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
"local_audio_level",1642259130510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259130518,"{""audioLevel"":0.00223872113856834,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259130700,"{""audioLevel"":0.0035481338923357532,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259131111,"{""audioLevel"":0.0025118864315095794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259131510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259131517,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259131702,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259132111,"{""audioLevel"":0.0035481338923357532,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259132509,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259132540,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259132707,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259133112,"{""audioLevel"":0.0035481338923357532,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259133511,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259133519,"{""audioLevel"":0.003981071705534973,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259133700,"{""audioLevel"":0.0044668359215096305,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259134110,"{""audioLevel"":0.0031622776601683794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259134510,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259134518,"{""audioLevel"":0.0031622776601683794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
